Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
105,Second by Eatherley,2.6384297520661155,0.9015151515151515,0.0,1.0,154,0.7943526170798898,0.1071625344352617,0.0396694214876033,0.05881542699724517,1.0,0.5120118980878473,1.0,0.5332804729146192
106,First by Shubik,2.6380165289256197,0.8600550964187328,9.0,1.0,69,0.7633608815426998,0.09669421487603305,0.05220385674931129,0.08774104683195592,1.0,0,0.6822751322751323,0.6824279489573607
107,Soft Go By Majority,2.6380165289256197,0.8730027548209366,15.0,1.0,83,0.7585399449035812,0.11446280991735537,0.05950413223140496,0.0674931129476584,1.0,0.795098235098235,0.7859614380890978,0
108,Stochastic Cooperator,2.6380165289256197,0.7362258953168044,69.0,1.0,183,0.6205234159779613,0.11570247933884298,0.12933884297520662,0.13443526170798897,0.9359957743945714,0.35373243715348973,0.4305449933356909,0.5122322909556952
109,Remorseful Prober: 0.1,2.6359504132231404,0.7203856749311295,71.0,1.0,140,0.590633608815427,0.12975206611570247,0.14710743801652892,0.13250688705234162,0.8971601147350514,0,0.9083381433381434,0.594981684981685
110,"N Tit(s) For M Tat(s): 3, 2",2.634710743801653,0.8867768595041322,10.0,1.0,116,0.7887052341597797,0.09807162534435263,0.03911845730027548,0.07410468319559228,1.0,0.7312609832411813,0.3508771929824561,0.41944444444444445
111,Firm But Fair,2.633884297520661,0.8794765840220385,0.0,1.0,60,0.7641873278236915,0.1152892561983471,0.05509641873278237,0.06542699724517907,1.0,0,1.0,0.7165657094228521
112,Soft Go By Majority: 10,2.6330578512396694,0.8710743801652893,16.0,1.0,84,0.7555096418732783,0.11556473829201103,0.06033057851239669,0.06859504132231406,1.0,0.7669304990200513,0.8071676587301587,0
113,Knowledgeable Worse and Worse,2.631818181818182,0.44517906336088153,167.0,0.8911845730027548,107,0.30840220385674927,0.13677685950413224,0.2859504132231405,0.26887052341597795,0.5490620392380388,0.4987204060999242,0.36158170023808794,0.28047373891744753
114,Slow Tit For Two Tats 2,2.631404958677686,0.893801652892562,3.0,1.0,174,0.7942148760330578,0.09958677685950414,0.03484848484848485,0.07134986225895316,1.0,0.7529026529026529,0.4531746031746032,0
115,Meta Winner Long Memory: 138 players,2.6297520661157026,0.6056473829201102,140.0,1.0,234,0.4297520661157025,0.17589531680440773,0.23705234159779615,0.1573002754820937,0.6553382326572371,0.7205208571976476,0.49740259740259746,0.7409472273757989
116,Soft Go By Majority: 20,2.628512396694215,0.8752066115702479,15.0,1.0,85,0.7579889807162534,0.11721763085399449,0.05785123966942149,0.06694214876033057,1.0,0.7974913974913974,0.7987566137566139,0
117,Evolved ANN 5 Noise 05,2.621900826446281,0.9320936639118458,8.0,1.0,51,0.8096418732782369,0.12245179063360881,0.030440771349862263,0.03746556473829201,0.990819209039548,0.8089435601628454,0.9395604395604397,0.5054945054945055
118,Dynamic Two Tits For Tat,2.61900826446281,0.8663911845730028,9.0,1.0,45,0.7615702479338844,0.10482093663911846,0.05316804407713499,0.08044077134986227,0.9703158945253152,0.5348101265822784,0.6944375730090016,0.4340629738038701
119,Prober,2.6165289256198347,0.4772727272727273,90.0,0.0,130,0.32809917355371904,0.14917355371900828,0.27796143250688704,0.24476584022038567,0.8159875149005583,0.6169650169650169,0.7680042110812858,0.5152777777777777
120,VeryBad,2.616115702479339,0.8900826446280992,5.0,1.0,200,0.7859504132231404,0.10413223140495867,0.03801652892561984,0.07190082644628099,0.9970887918486171,0.7495080355374473,0.7892543859649123,0
121,Hard Tit For 2 Tats,2.6136363636363638,0.9017906336088154,0.0,1.0,101,0.7966942148760331,0.10509641873278237,0.03112947658402204,0.06707988980716253,1.0,0.7276600033952976,0.45111111111111113,0.4599248790425261
122,Win-Stay Lose-Shift,2.6136363636363638,0.8411845730027548,19.0,1.0,203,0.7278236914600551,0.11336088154269973,0.06804407713498624,0.09077134986225896,1.0,0,0,1.0
123,Nice Meta Winner: 220 players,2.6132231404958675,0.8796143250688705,17.0,1.0,241,0.7515151515151516,0.128099173553719,0.05950413223140496,0.060881542699724525,0.9306898959285209,0.8640707115015028,0.4396336638272122,0.5481168831168831
124,Second by Leyvraz,2.6119834710743803,0.8721763085399449,5.0,1.0,161,0.7621212121212121,0.11005509641873278,0.04903581267217631,0.07878787878787878,0.9494045507244436,0.48219137493331043,0.797539943323076,0.5712527248985582
125,Delayed AON1,2.6095041322314048,0.8487603305785124,18.0,1.0,39,0.7330578512396695,0.11570247933884298,0.06570247933884298,0.08553719008264463,0.9889762548205531,0.37164962696877585,0,1.0
126,ZD-Mem2,2.6074380165289255,0.7651515151515151,63.0,1.0,216,0.6424242424242425,0.12272727272727273,0.11212121212121212,0.12272727272727273,0.8907477387322473,0.4472006515820948,0.869795634920635,0.336268400487585
127,"Momentum: 1.0, Alpha: 0.9914655399877477, Threshold: 0.9676595613724907",2.605785123966942,0.9114325068870524,4.0,1.0,115,0.7889807162534436,0.12245179063360881,0.0381542699724518,0.050413223140495865,1.0,0.8535810723929537,0,0
128,Appeaser,2.605371900826446,0.8431129476584022,19.0,1.0,14,0.7308539944903581,0.11225895316804409,0.06556473829201102,0.09132231404958678,1.0,0,0,1.0
129,Meta Winner Memory One: 37 players,2.6045454545454545,0.3278236914600551,178.0,1.0,232,0.22561983471074382,0.1022038567493113,0.3137741046831956,0.3584022038567493,0.5293969560133353,0.5593106689436965,0.20691113340349018,0.33091149354194893
130,"ZD-Extort-2 v2: 0.125, 0.5, 1",2.604132231404959,0.6347107438016529,125.0,1.0,210,0.5403581267217631,0.0943526170798898,0.15564738292011018,0.2096418732782369,0.8523513091629221,0.557809672690625,0.5070502581197768,0
131,"ZD-Mischief: 0.1, 0.0, 1",2.5983471074380162,0.4549586776859504,170.0,1.0,217,0.3859504132231405,0.06900826446280992,0.22424242424242424,0.3207988980716253,0.7688680459817,0.6792373726047194,0.2247275013836978,0
132,"ZD-Extort-2: 0.1111111111111111, 0.5",2.5942148760330577,0.6433884297520661,120.0,1.0,209,0.5508264462809918,0.09256198347107437,0.1493112947658402,0.20730027548209365,0.8768222301232539,0.6052927464692172,0.4673114088292659,0
133,First by Grofman,2.5896694214876037,0.8925619834710744,7.0,1.0,66,0.7724517906336088,0.12011019283746556,0.04201101928374655,0.06542699724517907,1.0,0.32454045040704704,0.43888007054673717,1.0
134,Second by Cave,2.5884297520661157,0.9245179063360881,0.0,1.0,151,0.8013774104683196,0.1231404958677686,0.027823691460055096,0.047658402203856746,1.0,0.545125356508929,1.0,0.58810440084025
